,Year,country code,Continent,CPI,date,depth,mag,mmi,Population density (people per sq. km of land area),Population growth (annual %),Population in largest city,Population in the largest city (% of urban population),"Population, total",Rural population,Rural population (% of total population),Urban population,Urban population (% of total population),Urban population growth (annual %),GDP (constant 2015 US$),GDP (current US$),GDP growth (annual %),GDP per capita (constant 2015 US$),country,Total Affected
19,1976,ECU,Americas,21.98835663,1976-10-04,55.0,5.1,,25.9637118913452,2.72843458337355,932156,29.9671766449452,7187794,4077204,56.724,3110590,43.276,4.86074502552592,29246503666.7275,9091924304.83477,7.39718761930672,4068.91233481754,Ecuador,20000.0
20,1976,GTM,Americas,21.98835663,1976-02-04,5.0,5.0,,58.5104796565883,2.23911459052053,1072216,45.6714955679461,6269983,3922313,62.557,2347670,37.443,3.0920354374707,18441756538.2356,4365300200,7.38726562260086,2941.27696011865,Guatemala,4993000.0
21,1976,GTM,Americas,21.98835663,1976-02-04,5.0,5.4,5.8,58.5104796565883,2.23911459052053,1072216,45.6714955679461,6269983,3922313,62.557,2347670,37.443,3.0920354374707,18441756538.2356,4365300200,7.38726562260086,2941.27696011865,Guatemala,4993000.0
22,1976,GTM,Americas,21.98835663,1976-02-04,5.0,7.5,8.919,58.5104796565883,2.23911459052053,1072216,45.6714955679461,6269983,3922313,62.557,2347670,37.443,3.0920354374707,18441756538.2356,4365300200,7.38726562260086,2941.27696011865,Guatemala,4993000.0
23,1976,IDN,Asia,21.98835663,1976-06-26,33.0,5.1,,73.9507388618712,2.48358802115549,5027651,18.9034614648109,133966940,107370483,80.147,26596457,19.853,5.22054720225711,115492177498.459,37269156626.506,6.88656497352524,862.094614525485,Indonesia,15000.0
24,1976,IDN,Asia,21.98835663,1976-10-29,33.0,5.3,,73.9507388618712,2.48358802115549,5027651,18.9034614648109,133966940,107370483,80.147,26596457,19.853,5.22054720225711,115492177498.459,37269156626.506,6.88656497352524,862.094614525485,Indonesia,7000.0
25,1976,IDN,Asia,21.98835663,1976-10-29,24.0,5.4,,73.9507388618712,2.48358802115549,5027651,18.9034614648109,133966940,107370483,80.147,26596457,19.853,5.22054720225711,115492177498.459,37269156626.506,6.88656497352524,862.094614525485,Indonesia,7000.0
26,1976,IDN,Asia,21.98835663,1976-10-29,33.0,7.1,6.6579999999999995,73.9507388618712,2.48358802115549,5027651,18.9034614648109,133966940,107370483,80.147,26596457,19.853,5.22054720225711,115492177498.459,37269156626.506,6.88656497352524,862.094614525485,Indonesia,7000.0
27,1977,ARG,Americas,23.41797075,1977-11-23,33.0,5.5,5.641,9.74220573028001,1.49916050863813,9446184,43.3370333795552,26661397,4864372,18.245,21797025,81.755,1.97610903801847,269376820356.684,56781000100.9448,6.93414775537975,10103.6273664386,Argentina,40100.0
28,1977,ARG,Americas,23.41797075,1977-11-23,33.0,5.0,,9.74220573028001,1.49916050863813,9446184,43.3370333795552,26661397,4864372,18.245,21797025,81.755,1.97610903801847,269376820356.684,56781000100.9448,6.93414775537975,10103.6273664386,Argentina,40100.0
29,1977,ARG,Americas,23.41797075,1977-11-23,33.0,5.1,,9.74220573028001,1.49916050863813,9446184,43.3370333795552,26661397,4864372,18.245,21797025,81.755,1.97610903801847,269376820356.684,56781000100.9448,6.93414775537975,10103.6273664386,Argentina,40100.0
30,1977,ARG,Americas,23.41797075,1977-11-23,33.0,5.4,,9.74220573028001,1.49916050863813,9446184,43.3370333795552,26661397,4864372,18.245,21797025,81.755,1.97610903801847,269376820356.684,56781000100.9448,6.93414775537975,10103.6273664386,Argentina,40100.0
31,1977,ARG,Americas,23.41797075,1977-11-23,33.0,5.3,,9.74220573028001,1.49916050863813,9446184,43.3370333795552,26661397,4864372,18.245,21797025,81.755,1.97610903801847,269376820356.684,56781000100.9448,6.93414775537975,10103.6273664386,Argentina,40100.0
32,1977,ARG,Americas,23.41797075,1977-11-23,13.0,5.7,6.459,9.74220573028001,1.49916050863813,9446184,43.3370333795552,26661397,4864372,18.245,21797025,81.755,1.97610903801847,269376820356.684,56781000100.9448,6.93414775537975,10103.6273664386,Argentina,40100.0
33,1977,ARG,Americas,23.41797075,1977-11-23,33.0,5.2,,9.74220573028001,1.49916050863813,9446184,43.3370333795552,26661397,4864372,18.245,21797025,81.755,1.97610903801847,269376820356.684,56781000100.9448,6.93414775537975,10103.6273664386,Argentina,40100.0
34,1977,ARG,Americas,23.41797075,1977-11-23,27.0,5.6,6.144,9.74220573028001,1.49916050863813,9446184,43.3370333795552,26661397,4864372,18.245,21797025,81.755,1.97610903801847,269376820356.684,56781000100.9448,6.93414775537975,10103.6273664386,Argentina,40100.0
35,1977,ARG,Americas,23.41797075,1977-11-23,22.0,5.9,6.438,9.74220573028001,1.49916050863813,9446184,43.3370333795552,26661397,4864372,18.245,21797025,81.755,1.97610903801847,269376820356.684,56781000100.9448,6.93414775537975,10103.6273664386,Argentina,40100.0
36,1977,ARG,Americas,23.41797075,1977-11-23,15.0,5.4,,9.74220573028001,1.49916050863813,9446184,43.3370333795552,26661397,4864372,18.245,21797025,81.755,1.97610903801847,269376820356.684,56781000100.9448,6.93414775537975,10103.6273664386,Argentina,40100.0
37,1977,ARG,Americas,23.41797075,1977-11-23,20.0,5.6,6.297000000000001,9.74220573028001,1.49916050863813,9446184,43.3370333795552,26661397,4864372,18.245,21797025,81.755,1.97610903801847,269376820356.684,56781000100.9448,6.93414775537975,10103.6273664386,Argentina,40100.0
38,1977,ARG,Americas,23.41797075,1977-11-23,33.0,6.0,6.233,9.74220573028001,1.49916050863813,9446184,43.3370333795552,26661397,4864372,18.245,21797025,81.755,1.97610903801847,269376820356.684,56781000100.9448,6.93414775537975,10103.6273664386,Argentina,40100.0
39,1977,ARG,Americas,23.41797075,1977-11-23,13.0,7.4,9.453,9.74220573028001,1.49916050863813,9446184,43.3370333795552,26661397,4864372,18.245,21797025,81.755,1.97610903801847,269376820356.684,56781000100.9448,6.93414775537975,10103.6273664386,Argentina,40100.0
40,1977,ARG,Americas,23.41797075,1977-11-23,181.0,5.0,,9.74220573028001,1.49916050863813,9446184,43.3370333795552,26661397,4864372,18.245,21797025,81.755,1.97610903801847,269376820356.684,56781000100.9448,6.93414775537975,10103.6273664386,Argentina,40100.0
41,1977,IDN,Asia,23.41797075,1977-08-27,46.0,5.4,,75.7784998647582,2.44154289912123,5251100,18.7526038339149,137278057,109276079,79.602,28001978,20.398,5.1497139109633,125610823212.857,45808915662.6506,8.76132560106353,915.010205985484,Indonesia,25.0
42,1977,IDN,Asia,23.41797075,1977-08-27,33.0,5.5,5.341,75.7784998647582,2.44154289912123,5251100,18.7526038339149,137278057,109276079,79.602,28001978,20.398,5.1497139109633,125610823212.857,45808915662.6506,8.76132560106353,915.010205985484,Indonesia,25.0
43,1977,IDN,Asia,23.41797075,1977-08-27,33.0,5.5,5.345,75.7784998647582,2.44154289912123,5251100,18.7526038339149,137278057,109276079,79.602,28001978,20.398,5.1497139109633,125610823212.857,45808915662.6506,8.76132560106353,915.010205985484,Indonesia,25.0
44,1978,GRC,Europe,25.2049907,1978-06-20,3.0,6.4,8.548,73.1571683475563,1.2966043585136,2885004,44.7326834363088,9429959,2980527,31.607,6449432,68.393,2.00238371307734,142130509928.859,44270204081.6327,7.24686304181235,15083.7184868984,Greece,600100.0
45,1962,IRN,Asia,11.68805955,1962-09-01,15.0,7.0,9.25,14.1649530931506,2.59472824834022,2105629,26.0380932948752,23071309,14984584,64.949,8086725,35.051,4.50147120360029,63435700217.0601,4693566416.48346,8.58870975955593,2749.54924391417,Iran,103000.0
46,1962,ITA,Europe,11.68805955,1962-08-21,20.0,5.4,,172.994627860324,0.676622989670017,2587008,8.42446072871783,50879450,20171158,39.645,30708292,60.355,1.50683335249242,558650973503.974,50383891898.9911,6.20365045787146,10979.8941125341,Italy,30000.0
47,1962,ITA,Europe,11.68805955,1962-08-21,20.0,6.2,6.462999999999999,172.994627860324,0.676622989670017,2587008,8.42446072871783,50879450,20171158,39.645,30708292,60.355,1.50683335249242,558650973503.974,50383891898.9911,6.20365045787146,10979.8941125341,Italy,30000.0
48,1962,ITA,Europe,11.68805955,1962-08-21,20.0,5.7,6.059,172.994627860324,0.676622989670017,2587008,8.42446072871783,50879450,20171158,39.645,30708292,60.355,1.50683335249242,558650973503.974,50383891898.9911,6.20365045787146,10979.8941125341,Italy,30000.0
49,1963,LBY,Africa,11.83294687,1963-02-21,25.0,5.6,6.006,0.913402366527615,3.56930247221934,202292,41.9590224799738,1607168,1125050,70.002,482118,29.998,6.64621680051821,..,..,..,..,Libya,5375.0
50,1964,MEX,Americas,11.98428136,1964-07-06,93.3,7.3,7.271,22.0021487178168,3.10757618638161,6642176,28.7053549453604,42771077,19631924,45.9,23139153,54.1,4.66305065006731,187913110958.828,20080000000,11.9054807682312,4393.46222118344,Mexico,4000.0
51,1964,TUR,Asia,11.98428136,1964-10-06,27.4,6.8,7.434,39.2971401842444,2.38535309978642,1872951,18.3870222906019,30244258,20057992,66.32,10186266,33.68,4.01072717753968,84687055315.0901,11177777777.7778,5.45905679838097,2800.10358710371,Turkey,13100.0
52,1964,TZA,Africa,11.98428136,1964-05-07,33.8,6.5,7.718,12.7519473921879,2.94200968224227,216902,32.7403693031302,11295675,10633184,94.135,662491,5.865,5.72542243926352,..,..,..,..,United Republic of Tanzania,500.0
53,1965,SLV,Americas,12.17425308,1965-05-03,15.0,5.9,6.496,153.540047961631,2.90753264805306,394228,31.6318195750308,3201310,1955008,61.069,1246302,38.931,3.16733815512616,8437241153.41494,877720000,..,2635.54297968294,El Salvador,139720.0
54,1966,NPL,Asia,12.5413205,1966-06-27,25.0,6.3,6.066,78.1295804195804,1.80283966945072,134985,31.9625783170188,11172530,10750208,96.22,422322,3.78,2.94694431415713,3994528016.33827,906811943.824649,7.04064314274788,357.531196276786,Nepal,20100.0
55,1966,NPL,Asia,12.5413205,1966-06-27,25.0,5.7,5.289,78.1295804195804,1.80283966945072,134985,31.9625783170188,11172530,10750208,96.22,422322,3.78,2.94694431415713,3994528016.33827,906811943.824649,7.04064314274788,357.531196276786,Nepal,20100.0
56,1966,NPL,Asia,12.5413205,1966-06-27,25.9,6.0,5.721,78.1295804195804,1.80283966945072,134985,31.9625783170188,11172530,10750208,96.22,422322,3.78,2.94694431415713,3994528016.33827,906811943.824649,7.04064314274788,357.531196276786,Nepal,20100.0
57,1966,TUR,Asia,12.5413205,1966-08-19,24.7,6.8,8.399,41.2113665007861,2.37529770602712,2136617,19.2749358364269,31717504,20632554,65.051,11084950,34.949,4.46280162371047,96842139012.2061,14100000000,11.2128150353514,3053.27112159286,Turkey,109500.0
58,1967,TUR,Asia,12.88906472,1967-07-22,30.0,7.4,8.607000000000001,42.1994906643452,2.36940471564864,2280326,19.6346141824652,32477994,20864188,64.241,11613806,35.759,4.66062303741953,101425203161.407,15644444444.4444,4.73251024393741,3122.89001474066,Turkey,326073.0
59,1968,MEX,Americas,13.43965669,1968-09-25,124.8,6.0,4.284,24.9142061267008,3.09447308162028,8052021,28.9586053065679,48431971,20626692,42.589,27805279,57.411,4.54013970518582,247324378521.465,29360000000,9.42327881833562,5106.63459311753,Mexico,500.0
60,1968,IRN,Asia,13.43965669,1968-08-31,10.0,7.1,8.876,16.5970284142538,2.67980528576127,2963267,27.7958194089263,27032576,16371739,60.563,10660837,39.437,4.93648385629204,124162971119.933,8623172959.89803,14.8009008557267,4593.08691557673,Iran,79050.0
61,1968,ITA,Europe,13.43965669,1968-01-15,10.0,6.4,7.397,181.00625616266,0.631737252752781,2987956,8.86554353688353,53235750,19532729,36.691,33703021,63.309,1.40395453417646,758013092614.881,87942231678.3505,6.54455465470546,14238.7980373129,Italy,55563.0
62,1968,PER,Americas,13.43965669,1968-06-19,15.0,6.8,6.752000000000001,9.94960234375,2.77557836690948,2679493,38.1103340789485,12735491,5704608,44.793,7030883,55.207,4.80853802328765,42958797784.293,5736083835.22481,0.152237710931757,3373.15599251674,Peru,420.0
63,1969,IRN,Asia,14.17378236,1969-01-03,10.0,5.5,6.57,17.0466661754955,2.67309842330511,3122148,27.8885301306456,27764928,16569831,59.679,11195097,40.321,4.88989811166085,144398815065.433,9743089607.49587,16.2978090512615,5200.76317379369,Iran,48300.0
64,1969,PER,Americas,14.17378236,1969-10-01,10.0,6.0,6.553999999999999,10.2287859375,2.76733113150829,2825827,38.32954603564,13092846,5720395,43.691,7372451,56.309,4.74379128775181,44468567081.732,6420909789.63824,3.51445891251396,3396.4019038895,Peru,3216.0
65,1969,PER,Americas,14.17378236,1969-10-01,10.0,5.8,6.474,10.2287859375,2.76733113150829,2825827,38.32954603564,13092846,5720395,43.691,7372451,56.309,4.74379128775181,44468567081.732,6420909789.63824,3.51445891251396,3396.4019038895,Peru,3216.0
